n12912734,洛杉矶 一个自由派城市的现状
n13350110,小白球被鳄鱼咬走 挥杆的美国男子笑歪了
n13350008,新生儿没有婴儿床 美消防队马上送一新床
n13350379,惊人巧合 美国一家庭祖孙三代同一天生日
n13351776,加州开始为5-11岁儿童打疫苗
n13351931,加州全保正式开放申请 1月31日截止
n13352346,疾病无情人有情 费城社区齐助患癌亚裔夫妇
n13353022,美海军退役后抑郁染毒 服务犬助其重回正轨
n13352726,父母中毒气 9岁童解锁父亲iPhone救全家
n13352093,五大原因 导致美航空旅行变得不稳定
n13353492,拜登政府宣布企业疫苗令于1月4日生效
n13354125,儿童抵税预付款 低收入家庭如何申请？
n13354093,大拖车被盗后 警方彻夜缓慢追捕
n13353966,夏令时即将结束 美19州欲全年实行夏令时
n13354186,2022年平价医保注册开启 九成人将获援助
n13354262,辉瑞疫苗研发涉违规？吹哨人的指控在调查中
n13354434,BB枪手虚惊 圣马利诺市两校一度被关
n13354190,联合国气候与会中 洛市长COVID检测呈阳性
n13354496,共赛激情耐力 洛杉矶与纽约马拉松同天开跑
n13354289,反对强制打疫苗 美国各地民众罢工抗议
n13354535,拜登政府就选举改革法起诉德州
n13355398,英媒：美国CIA使用灵媒的超能力执行任务
n13356527,无证移民可领疫情救济金 新泽西开放“被排除工人基金”申请
n13356587,维德孟华中文学校参加2022年抗乳癌健行
n13356786,盖茨警告：做病菌演习 以应对生化恐袭
n13357088,辉瑞董事：美国疫情可能在明年1月结束
n13357185,纽约市住宅租金回温至疫情前
n13357174,29岁华女惨死 嫌犯被加控仇恨犯罪
n13357210,八大道废弃加油站上盖游民所 需先治污染
n13357164,纽约市马拉松 交通须知
n13357285,美二战老兵百岁生辰 忆“诺曼第战役”
n13357148,周经皓接任国际狮子会法拉盛分会会长
n13357204,美国男子被妻子逼买乐透 结果中240万美元
n13357973,休斯顿音乐节酿悲剧 至少8人死多人伤
n13356446,美加冬令时周日开始 你需要注意哪些事
n13356391,今冬去哪儿度假？美最佳冬季度假胜地出炉
n13358302,不要尝试 七种用火用电方式易酿火灾
n13358359,美联邦上诉庭暂停拜登的企业疫苗强制令
n13358868,美国气象主播用这招 看起来像飘在云朵上
n13358919,报导尼日利亚宗教迫害 大纪元时报记者被捕
n13359236,只带500美元到美国追梦 他从睡公园变富翁
n13359695,是否卖10%特斯拉股 马斯克要网友投票决定
n13360359,美多所大学遭炸弹威胁 警方未发现可疑爆炸物
n13361088,美国喜剧作家与女儿的对话 令人喷饭（上）
n13360834,一名加州男子因涉嫌杀妻被捕
n13361451,故意利用空气注射脑干 德州男护承认谋杀四人
n13361866,美解除入境禁令 机场和美墨加边境排长龙
n13361321,幼童溺水命悬一线 德州妇女快速反应救回命
n13363310,隐匿中国豪赌客 洛县赌场付50万美元认罪
n13363459,加州白冷杉“糖熊”被国会山选为节日树
n13363311,研究：美国2种疫苗效力6个月后低于50%
n13363789,台裔小提琴家表演时断弦 你猜他如何处理？
n13364030,义工们在洛市清理垃圾 并为游民提供帮助
n13364136,美国喜剧作家与女儿的对话 令人喷饭（中）
n13364339,越战老兵紫心勋章遭窃 数十年后奇迹复得
n13365923,大陪审团调查鲍德温公园市大麻许可问题
n13365986,美百岁二战老兵长寿秘诀：信神和珍惜家庭
n13366232,加州选区重划 第一版地图将公布
n13366659,美国喜剧作家与女儿的对话 令人喷饭（下）
n13367566,美国公民入籍人数创十多年来最高
n13367606,费城七千人老兵节游行向退伍军人致敬
n13367965,亿分之一捕获率 超稀有彩虹色龙虾现身缅因州
n13368070,可用手机出示证件 新泽西州长签署几十项新法
n13368124,“跟随到家”偷窃猖獗 洛县警局发警报
n13368350,南加进入干旱紧急状态 供水商吁节水
n13368389,洛市议会提案拟阻科技公司购平价房
n13368766,个人电脑始祖 “苹果一号”以40万美元拍出
n13368332,海豚引路 船长救回被困海上漂流12小时女子
n13369058,组图：精湛技艺 用嘴吹出的玻璃艺术品
n13370229,预告：新世纪影视新片《寻狗》11月12日上映
n13370455,感恩节前神韵莅临新泽西 州长发信祝贺
n13370683,纽约恢复老兵节游行 感谢保卫自由的人
n13370832,组图：纽约老兵节大游行曼哈顿隆重登场
n13371099,学校口罩令是否取消 新泽西州长称或分阶段放宽
n13371136,经济复苏 新泽西捷运将增加列车车次
n13371072,白宫推进疫苗令 新泽西州140万工人受影响
n13371138,美89岁老翁获物理学博士学位 一圆毕生梦想
n13371598,美国教堂出现持枪男子闹场 被英勇牧师制伏
n13372577,美动物园再现新冠病例 圣路易斯8狮虎豹染疫
n13371770,组图：不满防疫措施 旧金山民众聚集抗议
n13372792,家用测试盒现假阳性结果 美FDA召回200万个
n13373204,向国会议员发出死亡威胁 长岛男子被捕
n13373206,警方公布中央公园性侵嫌犯照片
n13373174,美多所名校收到炸弹威胁 纽约大学、麻省理工、南加大也发生
n13373168,新州收购废弃铁路 打造另一座高线公园
n13373188,民调：近七成市民对警察持积极态度
n13373097,橙县老兵节 为牺牲英雄献上一朵红玫瑰
n13373171,医护宗教豁免疫苗案 上诉至最高法院
n13373682,蓝色起源宇航员空难丧生 上月曾成功进入太空
n13373947,美议员：弗州选举结果体现美国父母的选择
n13373009,老人落水险溺亡 爱犬跳入水中成功引救援
n13372978,女友病重昏迷一个月 醒来后 男友病床边求婚
n13374279,美国政府宣布大幅提高红蓝卡保费
n13373738,救生员相助 95岁老人达成亲近沙滩的愿望
n13374393,2021年黑色星期五 如何找最优惠折扣？
n13374378,骇客冒充FBI寄假电邮给数千个组织 警告网攻
n13375864,感恩节旅行预计爆量 美铁吁预约行程
n13376117,五人涉公园吸芬太尼中毒 送医急救
n13375583,CDC：没有自然免疫者传播COVID-19的记录
n13376311,拍到扫帚飘浮空中 美国男子求解
n13376725,杭廷顿海滩码头艺术品集市 接到关闭通知
n13376650,医护帮了愿 97岁老人首穿婚纱庆结婚纪念日
n13377711,宾州Marcus Hook老兵节游行 向退伍军人致敬
n13377504,民调：美逾半数家长不放心儿童接种新冠疫苗
n13378185,110起尾随回家抢劫案 洛杉矶警局：涉6团伙
n13378736,跳蚤市场生财有道 重开体验淘货快乐
n13378817,“圣诞老人行动”征回信义工 帮孩子圆梦
n13378689,婚礼现场 生父突然将继父拉上台一起送女儿
n13379922,马斯克再次抛售股票 专家：税收非唯一原因
n13380254,新规生效 洛市餐馆不再主动提供免费塑料餐具
n13380486,Costco召回Kool-Aid冲泡饮料 或含碎金属玻璃
n13380370,研究：布口罩几乎无法阻止COVID病毒传播
n13380557,违反加州疫情通报法被控 亚马逊达“首例”和解
n13380644,洛杉矶国际车展回归 众多新车首次全球亮相
n13380808,货车被火车撞成两半 司机生日当天奇迹存活
n13380706,大风暴或袭美国东海岸 将影响感恩节出行
n13380690,农民意外离世 社区上百民众自发帮忙收割庄稼
n13380725,组图：美八旬老妇拍卖一辆原装福特古董车
n13381788,600年来最长月偏食本周登场 全美可见
n13382570,美劳工部暂停实施拜登的私企疫苗强制令
n13382827,北美年度车决赛名单揭晓 新车亮相洛杉矶车展
n13383018,受伤小鹿走进医院 还自己搭电扶梯上二楼
n13383517,汽车遭18轮大卡车辗压 美国女车主奇迹生还
n13382709,11岁女儿遇难 父亲基于信仰原谅酒驾嫌犯
n13384330,疫情重创旅游业 新泽西州立法助行业振兴
n13384359,新泽西州开放申请种植加工大麻 部分居民担忧
n13384272,新泽西华尔镇高中橄榄球员涉校园欺凌 县检察官介入调查
n13384367,勿急！真实身份证期限延至2023年5月
n13384617,新泽西迪格兰游乐场宣布 明年建成新景点
n13384907,被骗59万美元 南加爱迪生吁民慎防诈骗电话
n13385102,组图：2021洛杉矶国际车展 多款新车抢先看
n13385329,加大尔湾分校13亿美元新医院破土动工
n13385394,吸毒过量年致死十万 “悲惨里程碑”谁之过
n13385408,饥饿的熊闯入加州7-11找食物 店员尖叫
n13385077,拜登政府与辉瑞达协议 预购千万疗程口服药
n13385796,小婴儿在餐厅噎到 陌生男子急取一物救他
n13385072,目睹窃贼入室作案 两少年用自行车成功拦截
n13386471,COVID-19起源 新研究挑战世卫报告说法
n13386905,美陪审团：少年击毙抗议者属自卫 谋杀罪不成立
n13385757,巡逻警冒雨执勤 10岁男孩主动为她撑伞
n13387185,美批准成年人使用辉瑞与莫德纳疫苗加强剂
n13387151,彭帅失踪 联合国吁调查 白宫表关切
n13387311,今年感恩节恐没火鸡？美国肉类和馅饼或缺货
n13387549,布碌崙劫匪抢钱伤人 警方征询破案线索
n13387471,纽约一油漆工跌落曼哈顿桥 当场身亡
n13387578,国宝银行为医疗与艺术等NPO 申请九万元联邦补助
n13387576,纽约年满18岁成人 完全疫苗接种率达80%
n13387568,“孕产期心灵之旅”讲座：应对产后抑郁及情绪问题
n13387713,火鸡价涨24% 美国今年感恩节大餐将是最贵
n13388132,旧金山一家LV专卖店被洗劫一空 6人被捕
n13387630,退伍军人身心异常流落街头 好心人帮其找到家人
n13388393,美国2021年疫情死亡人数超过2020年 
n13388441,2021全美房价最贵的10个邮编地区是哪些
n13388603,美国加州公路上满地都是钞票 民众停车疯抢
n13389569,美感恩节假日周 风暴来袭 气温波动如过山车
n13389990,圣谷首个游民过渡安置“希望”小区落成
n13390222,感恩节假期 预计200万人抵洛杉矶国际机场
n13390225,美威州一汽车冲入圣诞游行人群 致1死20伤
n13389876,美交通部长：疫苗令不会影响感恩节出行
n13390830,分析：里滕豪斯案的错误信息为何被广传
n13391825,帕萨迪纳男孩在卧室被流弹击中身亡
n13392109,感恩节购物 美国哪些商店开门哪些关闭
n13391956,驾车冲撞威州圣诞游行人群 嫌疑人身份确认
n13391903,疫情未消节日至 出行高峰注意啥
n13392519,加州80蒙面劫匪快闪洗劫商场 分25辆车逃逸
n13393404,越野跑选手多次摔倒 对手拽起他一起奔向终点
n13394083,费城社区感恩节游行感恩神的恩赐
n13393941,黑色星期五去哪里购物 五家商店折扣最好
n13394195,美国航班延误最严重的八个机场
n13394443,劫匪袭击加州时尚零售店 引发愤怒
n13394570,缴房产税截止日将近 有人为何收到额外账单？
n13394633,洛城警方逮捕Grove商场劫案3贼 约20人在逃
n13394347,数十抢匪连续三天集体洗劫加州湾区商店
n13394503,摩根大通CEO：相信我们比共产党活得更长
n13394752,美国男子钓到鲨鱼 被白头鹰抢走
n13395038,感恩节易酿厨房火灾事故 烹饪安全须知
n13395285,美国离奇车祸 SUV把SUV撞飞到SUV上
n13396133,新泽西教师工会对里滕豪斯无罪发“沮丧”声明  在社交媒体遭抨击
n13396199,美感恩节搭机或自驾出游 需要了解的几件事
n13396373,拜登基础设施法案隐含补贴 红灯摄像头会再回来吗？
n13396392,无证建筑工人遭致命事故后 缺乏保护措施
n13395052,美国艺术家绘制颂扬爱国主题的巨幅壁画
n13396539,乔治亚非裔阿伯里枪杀案 三名嫌犯谋杀罪成
n13396652,疫情后感恩节 人们感恩神庇佑 阖家团聚
n13396878,感恩节后迎黑五 各大商家营业时间攻略
n13396922,乘坐飞机不守规 八名乘客遭重罚
n13396973,假日购物季加州抢劫案频发 警方出击制止
n13396996,保障感恩节出行 加州公路巡警局加强执法
n13397100,与市府达成和解协议 DoorDash赔偿532万元
n13396674,白宫：92%联邦雇员在截止期前接种了疫苗
n13397569,美国男子建1米宽迷你教堂 或打破世界纪录
n13397340,祖父母寄送创意礼物 隔空与孙辈共度感恩节
n13398238,吃了感恩节火鸡后打盹？专家释因
n13398612,感恩节后迎黑五 Costco及各商家营业时间一览
n13398798,组图：纽约举行第95届梅西感恩节大游行
n13399019,盗窃车辆催换器 洛杉矶三少年被拘留
n13399135,庆感恩节 橙县举办“火鸡小跑”比赛
n13399213,抗通膨？主流媒体提倡感恩节改吃豆腐火鸡
n13398997,美国九零后高材生对李洪志大师的感恩
n13399060,调查：不打算买节日礼物的美国人今年最多
n13401053,两起比弗利山庄抢劫案中五人被捕
n13401291,快讯：北卡购物中心感恩节发生枪击 三人伤
n13401220,关于黑色星期五 鲜为人知的几个事实
n13401267,爱迪生公司防风断电 三万多用户受影响
n13401190,新数据显示：默克COVID-19口服药疗效较低
n13401377,加州苹果店遭洗劫 四劫匪当众抢2万美元商品
n13401576,组图：纽约米德敦市圣诞游行 法轮功受邀参加
n13401606,黑五Costco肉类大减价 打折猪肉受华人欢迎
n13401838,25年假冒律师行骗得手 专家支招防骗
n13401600,宝洁18种止汗剂含致癌物质 宣布召回
n13401863,值勤中接触芬太尼 两起事件中4人送医
n13401752,亲属移民找错副担保人 案子被拖数年
n13401935,美国21周大早产儿奇迹存活 刷新世界纪录
n13402112,阿拉斯加最大金块拟高价拍卖 重达9公斤
n13402847,今年美国黑五期间 汽车折扣和往年大不同
n13403092,福西：若Omicron已现身美国 不会感到惊讶
n13403169,备战Omicron变体 纽约州宣布将进入紧急状态
n13403385,黑色星期五 洛杉矶发生至少6起快闪窃案
n13403458,美国男子冤狱43年终获释 捐款助他成富翁
n13399459,美国下雪最多的七个城市 纽约州占三个
n13403254,黑五购物 美实体店销售额比疫情前下降28%
n13404408,美国费城感恩节大游行 传统佳节话感恩
n13404456,藏身飞机轮舱偷渡 26岁男迈阿密机场被捕
n13404497,时尚设计师阿布洛因癌症去世 年仅41岁
n13404277,福西：美应准备好对抗Omicron 但封锁尚早
n13404500,百万曾领加州失业金者 或必须提交工作证明
n13405178,被困深山48小时 瑜伽教练靠冥想战胜严寒
n13405387,棒球迷无力带女儿看大赛 对手球迷赠门票
n13406233,【直播】拜登就Omicron最新情况发表讲话
n13406318,Omicron全球蔓延 拜登讲话聚焦六大主题
n13406173,推特首席执行官辞职 首席技术官接任
n13406424,美商务部长吁众院立即通过《芯片法案》
n13406544,美最新疫情一览 最重与最轻的五个州是哪些
n13406557,美法官暂停针对十州医护人员的疫苗强制令
n13406838,好莱坞圣诞大游行疫情后回归 为孩子募玩具
n13406933,如何给圣诞老人写信
n13407175,国会议员朴银珠谈解决供应链混乱
n13407434,美CDC：所有成年人都应接种疫苗加强剂
n13407053,美流浪汉街头弹钢琴一夜成名 将上映传记片
n13407367,美国湖底出土一艘1200年历史的独木舟
n13408658,【快讯】密歇根高中枪击案3死6伤 嫌犯被捕
n13408729,“暖秋”气温笼罩美国中部地区
n13408743,盗贼突袭南加联合太平洋火车集装箱
n13408860,洛杉矶两港第四次延收集装箱滞留费
n13408869,FDA专家组投票 支持默克药厂抗疫口服药
n13408741,法官叫停拜登对联邦承包商疫苗强制令
n13409012,美国邮局发行第三枚虎年邮票
n13409259,女子停机坪上“打旗语”遭LAX拘留
n13409049,主播克里斯·库莫涉兄长丑闻 遭CNN无限期停职
n13409080,罗马尼亚移民警告美国人：吸取共产国家教训
n13409539,洛县重新划选区 集中在两草案修改
n13409420,中共监视美国校园 利用线人压制异议（1）
n13409920,因祸得福？ 美国男子因开刀中百万美元乐透
n13410932,新变种Omicron传染性强 新泽西重启旅行禁令
n13410894,“黑人音乐教父”之妻在家中死于枪杀
n13411272,调查：美1.22亿人将在圣诞节假期出行
n13411541,防范“快闪”抢劫 洛县警署主动出击巡逻
n13411567,漏油事件后 南加州捕鱼活动重开
n13411882,旱情持续 加州水务局发布禁止浪费水草案
n13411867,模特目睹惊险车祸 果断抢救停止呼吸的婴儿
n13411144,密西根高中枪击案 高二生被控谋杀和恐怖主义
n13412237,美国家庭清理出一枚炮弹 里面竟装满财宝
n13413218,拜登延长飞机上口罩令 加强Omicron测试
n13413370,全美前十名最致命公路 两条穿过新泽西
n13413286,南非医学协会主席：Omicron症状很轻微
n13413467,疫情重击加政策限制 28%新泽西企业准备关门
n13413586,科罗拉多州发现全美第三例Omicron感染病例
n13413817,纽约州发现五人感染Omicron变种病毒
n13413505,音乐名人妻子家中遭枪杀 加州警方逮捕嫌犯
n13413858,顺手牵羊偷商品超30万美元 妇人被捕
n13413927,假释犯偷价值20万军用悍马车 获判近三年监禁
n13414049,国会大厦被捕者家属求助
n13413917,美国会启动“奥运囚犯”项目 突出中共政治犯
n13414444,中共病毒感染致嗅觉失灵 研究：老人更脆弱
n13413996,美国男婴自发把手放胸前 现长成五岁爱国者
n13415899,11天内11场打砸盗窃 LAPD逮捕14嫌犯
n13415966,LAX周五推出COVID快速检测点
n13416004,应对omicron传播 美各州加紧追踪接触者
n13416324,布碌崙高中设金属侦测器首日 查获21件武器
n13416321,联合国门前男子 莫名持枪递交文件
n13416310,血液中心告急 呼吁民众发挥爱心
n13416378,“基本计划”每月20元保费取消
n13416295,玩具反斗城回归 旗舰店落户新州“美国梦”
n13416302,今年圣诞节是白色的可能性很低
n13416442,给圣诞老人写信
n13416171,庆结婚纪念日 95岁退伍军人与妻办白色婚礼
n13416194,警方逮捕密歇根高中枪击案嫌犯父母
n13417046,密歇根州枪击案嫌犯父母不认罪 称没试图逃跑
n13417266,美Omicron病例达20人 福西：有社区传播
n13417440,纽约市强制要求宗教和私立学校员工接种疫苗
n13417473,调查：加州亚裔女一家远足途中死于高温
n13417486,美国德州水管工在教堂厕所墙内发现失窃巨款
n13417588,组图：首届参观费城节日游行 法轮功受邀参加
n13418439,CNN主播克里斯‧库默遭解雇
n13418659,福西：早期迹象显示Omicron不如Delta危险
n13418963,14岁男孩运用急救技能 成功救回窒息父亲
n13420156,纽约市强制私营部门接种疫苗 12月底生效
n13420327,美进一步收紧入境规则 你需要了解的六件事
n13420603,洛杉矶劫匪持枪洗劫富人区节日派对宾客
n13420761,加州资金花在哪 非营利组织提诉讼索求
n13420611,料迎来暴风雪 夏威夷罕见发布警报
n13421270,首届参观费城节日游行 法轮功队伍大放光彩
n13421653,佛州一医院不再要求8.3万员工接种疫苗
n13421127,美国犹他州意外发现一座19世纪的手砌木屋
n13422500,亚马逊云服务遭遇重大故障 正在修复
n13422517,辉瑞CEO：Omicron传播速度之快恐致更多突变
n13422595,卢比奥要求Airbnb下架新疆建设兵团出租房信息
n13422631,犯罪率上升 比佛利山庄加强警力
n13422903,罗兴亚人告脸书放任仇恨言论 索赔1500亿美元
n13423294,当众不敢打喷嚏 疫情微变生活
n13423314,迪士尼精灵系统周三启用 游景点更通畅
n13423074,马斯克售出最后房产 正式成为“无家可归者”
n13423763,北加送白冷杉大礼 国会圣诞树第58年亮灯
n13424786,FDA：发布完整辉瑞疫苗数据 需要75年
n13425157,驻洛台北经文处处长黄敏境携侨领参访大纪元
n13425364,美国俄勒冈海岸连发50次地震 专家：无威胁
n13425410,施压北京 美众院一天通过三项中国人权法案
n13425219,IG平台被指伤害年轻用户 老板美参院作证
n13425545,NBA要球星坎特脱下批共球鞋 遭拒绝
n13426161,赚钱快操心多 开卡车公司不容易
n13425849,美国善良男孩拦下警察 请求她和他一起祈祷
n13421414,马上投保 享受更多税收扣抵
n13427972,新泽西发现首例Omicron变种病毒患者
n13427797,年末前 美十几个城市年度凶杀案数量已创纪录
n13427876,最新民调：三分之二美国人的家庭开支增加
n13428218,赚取高薪开卡车 为何行业总缺人
n13428234,圣诞窃案预计大增 南加警方备战中
n13428295,圣诞节装饰的几个安全贴士
n13428333,2022年加州将实施有机垃圾回收新法
n13428278,浪费水资源 加州考虑最高罚500美元
n13424672,【直播预告】罗冠聪民主峰会演讲 聚焦港人抗争
n13428692,国税局2022年报税新变化和考虑事项
n13428708,圣诞节船队游行 橙县3海滩城市周末登场
n13428263,105岁奶奶创百米跑世界纪录 美国史上首位
n13426653,大纪元美首都新办公室开张 政要专家云集
n13429918,劳伦斯高中发现上膛枪只 15岁持枪学生被捕控罪
n13429557,报告：脸书标注政治广告 错误率高达83%
n13429964,美最高院不阻德州反堕胎法 但允许诊所继续起诉
n13430234,窃贼入室橙县园林市一枪店 盗走40枝枪
n13430285,世卫：未接到Omicron变体导致死亡的报告
n13430557,国际人权日 美各地华人吁“无人权 无奥运”
n13430404,Omicron变种病毒蔓延 全美25个州出现病例
n13430477,美航空局：不再授予“商业宇航员之翼”徽章 
n13430685,法拉盛华女遇害案 嫌犯被控谋杀罪
n13430677,法拉盛“新月心愿”圣诞点灯 象征美好祝福
n13430675,法拉盛华裔儿科医生被控刀刺怀孕员工
n13430743,让游民有自己的家 纽约州扩大租屋代金券补助
n13430691,世界人权日想念母亲：过两天就是她生日
n13430759,纽约州13日起 公共室内场所实施口罩令
n13431250,伊州遭龙卷风袭击 亚马逊仓库倒塌 多人死
n13431191,30龙卷风袭美国六州 恐至上百人死
n13430551,九旬老妇去世 捐赠三万多美元给警犬部门
n13431484,CDC：美首例Omicron病患11月15日已现症状
n13431745,龙卷风来袭时 肯塔基州一家人躲在厨桌下逃生
n13432171,向新年献礼：2022玫瑰花车游行将如期举行
n13432581,龙卷风来袭 美国妈妈被困期间开直播求救
n13432949,全美染疫死亡人数达80万 超过北达州人口
n13432982,美巨资打造新型攻击潜舰 预计10年后现身
n13432988,被龙卷风夷为平地 美蜡烛厂应急计划遭质疑
n13433484,首个台湾艺术和科技博物馆在美国成立
n13432604,组图：美国肯塔基州龙卷风灾情实况
n13433360,福克斯名主持华莱士辞职 跳槽CNN
n13434937,龙卷风过后 美数千户断水断电断暖
n13433770,保护主人免受袭击 加州忠犬遭山狮咬重伤
n13435382,创立中国学生交流项目 前校长涉官司
n13435204,缓解人力短缺 美多个医院系统取消疫苗令
n13435360,美4州征召国民警卫队 以应对医护人员短缺
n13435610,防山洪 洛县应急管理办敦促居民做好准备
n13435638,好莱坞追悼会场枪响 一嫌犯被捕
n13435462,《时代》周刊年度人物揭晓 马斯克当选
n13435632,NFL：所有人员12月27日前须打疫苗加强针
n13435882,为什么圣诞树应该每天浇水？
n13435773,为支持妻子 丈夫将旧露营车改成漂亮缝纫室
n13436743,Omicron迅速传播 美CDC：80%病例完全接种
n13432923,美弗州第24县决议 强烈谴责中共活摘器官
n13437519,用伊维菌素治疗COVID-19患者 美国医生被解雇
n13437861,洛杉矶1月开展2022年游民统计 征志愿者
n13437352,美参议院投票通过提高债务上限法案
n13437937,女婴早产住院 无意中救了父亲一命
n13439347,特拉华小镇圣诞游行传统精神回归
n13439688,龙卷风袭击肯塔基州 蜡烛厂工人奇迹生还
n13440037,医院拒绝试用伊维菌素 六旬妇女死于中共病毒
n13440076,福西称针对Omicron变种 目前无需特别疫苗
n13440432,加州总检察长：打砸抢高档商家是有组织犯罪
n13440226,被控侵犯弗洛伊德公民权 前警官肖万认罪
n13440430,DNA论文被国际期刊撤稿 9合作者为中共警察
n13440638,美国女子以物易物 用发夹辗转换到房屋
n13440537,美FDA再警告：强生疫苗可引发罕见不良反应
n13441105,女婴夜间停止呼吸 小狗救了她一命
n13442225,母熊扎营蒙罗维亚民宅 屋主猜将产小熊
n13442305,司法部：加州漏油事件中 石油公司有疏失
n13442339,辉瑞默克治疗中共病毒药物 可望月底获FDA批准
n13442306,强生疫苗有血栓风险 美CDC专家建议不选用
n13442363,新泽西发现第二例 Omicron 变种病毒感染者
n13442355,圣诞购物季开启 民众爱逛奥特莱斯
n13444005,新泽西两大公路过路费明年调涨遭批 或叫停
n13444486,Omicron变体可能会让美国医院不堪重负
n13444567,美CDC推新指南 让儿童“测试后留校上课”
n13444455,帕萨迪纳迎玫瑰花车游行 宣布禁篝火营帐
n13444634,好莱坞影院公映《时代革命》 全院满座
n13444662,假日期间 南加部分城市暂停过夜停车执法
n13444599,TikTok疯传枪击威胁视频 致全美部分学校停课
n13444495,遭绑架的美加传教士全部获释 乘机离开海地
n13444785,SCE为二手电动汽车提供四倍折扣优惠
n13444838,杭廷顿海滩附近又发现油膜 来源待查
n13444897,病毒搅扰节日欢庆 《圣诞颂歌》剧院停演
n13444812,普渡校长批评骚扰他人小粉红 引出两份联署
n13444917,康奈尔大学115个送测序病毒样本 皆为Omicron
n13445410,“Omicron闪电般传播” 美欧多地病例激增
n13445660,急需品包裹出差错 女子陷困境 警察帮解围
n13445776,美CDC：5至11岁儿童打疫苗后出现8例心脏炎症
n13446187,男子喜欢圣诞灯光 每年打造一个彩灯世界
n13446279,八年级男孩主动为脑瘫同学撑雨伞 感动社区
n13446863,北美最早台商组织 纽约台湾商会庆45周年
n13446915,首度移师华埠 铜星勋章致敬英勇华人老兵
n13440536,在哪里度过新年前夜 美国十大城市最合适
n13447593,开启绿色物流 联邦快递迎5辆通用电动车
n13447693,惊险画面：纽约公寓失火 姊弟爬水管逃生
n13448121,美国龙卷风吹走两名婴儿 双双奇迹生还
n13447814,龙卷风重创肯塔基 外地居民自带炊具前往救援
n13448330,美大学关门应对Omicron 专家: 无助防疫
n13449340,汽油泄至阿罕布拉雨水渠 圣谷社区发警报
n13449480,芬太尼过量已成美国成年人的头号死因
n13449647,洛县多项赛事演出因疫情取消或推迟
n13449681,调查：2021年美礼品卡诈骗损失约1.48亿
n13449594,Omicron持续扩散 占美国新增感染病例73%
n13449493,纽约卫生官员：Omicron感染者住院率较低
n13449962,美国内机票一年涨55% 难阻圣诞出行热潮
n13449732,德州报告Omicron死亡病例 为美国首例
n13449961,美国最古老的圣诞老人学校 如何培育人才？
n13450388,特斯拉自动驾驶派上用场 孕妇车上顺利生产
n13451065,美国疫情升温 麻州调用国民警卫队支持医院
n13451648,美国超级豪宅销量2021年增35% 再创纪录
n13451987,洛杉矶迎雨中圣诞 高山能飘雪
n13451763,拜登：Omicron将带来更多突破性感染病例
n13452005,中共称反制裁美官员 专家： 美击中要害
n13451671,Omicron病毒蔓延 无阻美国人假期出行
n13452040,美军研制出COVID独特疫苗 完成一期临床试验
n13452010,应对Omicron传播 加州将要求医护打加强针
n13452082,疫情影响？ 2021年美国人口增长速度创新低
n13453460,疫苗接种强制令针对者 包括牙医和私人医生吗？
n13452223,蛋糕店老板每年送医生蛋糕 答谢其救父之恩
n13454135,圣诞节天气预报：美国部分地区将遇大雪
n13453916,拜登政府再延长学生贷款暂停支付期限
n13454270,加大解雇医学院项目主任：自然免疫力无豁免
n13454370,“红通犯”乔建军已刑满释放 律师叹“轻判了”
n13454143,美FDA批准辉瑞COVID-19口服药使用权
n13454404,LAX贵宾室员工投票罢工 期望解决工资纠纷
n13454433,美国护照费下周起涨价 新领或换发均上调18.2%
n13454346,美Omicron变种快速传播 病毒检测需求激增
n13455187,74岁祖父当替补伴郎 为外孙婚礼增添欢乐
n13455980,新泽西中共病毒疫情凶猛 单日确诊首次过万
n13455446,【名家专栏】通胀下美国工薪家庭怎样过圣诞
n13456161,身怀钜额现金 小心遭缉毒局没收
n13456180,英特尔向中国客户道歉 为何外企谨言慎行
n13456532,疫情模型预测：美国未来两月或新增1.4亿病例
n13456643,旅人圣诞团圆谢神恩 洛城机场溢温馨
n13456499,忧人手不足 美国CDC缩短确诊医护隔离期
n13456554,海洋奥德赛号游轮55人染疫 完全接种达95%
n13457562,组图：肯塔基风灾受创 民众捐赠圣诞节礼物
n13458213,新州共和党议员再次挑战疫苗政策 被阻议会厅外
n13458195,传递温暖和爱 神秘圣诞老人送百万美元礼物
n13458232,病例暴增 新泽西将禁止中断水电服务令延至 3 月
n13458315,新泽西米市学区自定规则违州法 意外符合CDC新政策
n13458344,假期病毒检测顾客激增 各商店限购试剂数量
n13458409,美空乘感染Omicron激增 圣诞节大量航班取消
n13458473,组图：拜登和第一夫人圣诞前夕现身儿童医院
n13458493,国际谴责中共人权 美品牌商谨慎投放奥运广告
n13458336,圣诞老人有多高？父母如何回答孩子的问题
n13458568,FDA批准默克COVID口服药 白宫22亿美元采购
n13458551,14岁女孩被追击嫌犯的洛城警察误伤致死
n13458611,洛城犯罪猖獗 光天化日下妇女扛斧入店窃拿
n13458708,美军舰爆疫情暂停部署 全部船员已接种疫苗
n13458908,生日聚会收到继父收养请求 三姐弟惊喜落泪
n13453510,美加各界祝大纪元新唐人及读者们新年快乐
n13459428,百分百接种仍爆疫情 美军舰圣诞节滞留港口
n13459989,不喜欢你的圣诞礼物？节日过后退货小贴士
n13460478,组图：圣诞季 纽约璀灿装饰点亮街头
n13461159,美国西北部迎来白色圣诞节 南部高温炎热
